filename,decision,website
landartla_com.png,LEAD,landartla.com
landscaperehabsf_com.png,LEAD,landscaperehabsf.com
landscaperesources_net.png,LEAD,landscaperesources.net
lausconsult_com.png,LEAD,lausconsult.com
lawncarelakelandtampaflorida_com.png,LEAD,lawncarelakelandtampaflorida.com
lawnmedicland_com.png,LEAD,lawnmedicland.com
lewmanelectric_com__utm_source_gbp_utm_medium_orga.png,LEAD,lewmanelectric.com..utm.source.gbp.utm.medium.orga
lightscapedesignfl_com.png,LEAD,lightscapedesignfl.com
lmvservicescontractor_com.png,LEAD,lmvservicescontractor.com
local_ac_com_orlando.png,LEAD,local.ac.com.orlando
locations_trulynolen_com_fl_lakeland_lakeland_032_.png,LEAD,locations.trulynolen.com.fl.lakeland.lakeland.032.
locations_trulynolen_com_fl_orlando_orlando_096_ht.png,LEAD,locations.trulynolen.com.fl.orlando.orlando.096.ht
locations_trulynolen_com_fl_wintergarden_winter_ga.png,LEAD,locations.trulynolen.com.fl.wintergarden.winter.ga
lotuslandscapeinc_com.png,LEAD,lotuslandscapeinc.com
lovesacandheating_net__utm_source_omg_gbp_utm_medi.png,LEAD,lovesacandheating.net..utm.source.omg.gbp.utm.medi
lrobertscleaningservice_federalgovernment_info.png,LEAD,lrobertscleaningservice.federalgovernment.info
luxurybathcfl_com_bathroom_remodeling_tampa_fl.png,LEAD,luxurybathcfl.com.bathroom.remodeling.tampa.fl
lydybugpestcontrol_com.png,LEAD,lydybugpestcontrol.com
madcleaning_net.png,LEAD,madcleaning.net
maidforyoucleaning_com.png,LEAD,maidforyoucleaning.com
maintainlandscaping_com.png,LEAD,maintainlandscaping.com
manfredodesigns_com.png,LEAD,manfredodesigns.com
marcopolopools_com.png,LEAD,marcopolopools.com
marshallsllcroofing_com.png,LEAD,marshallsllcroofing.com
martinsvillemaintenance_com.png,LEAD,martinsvillemaintenance.com
masseyservices_com_lakeland_pest_control__utm_sour.png,LEAD,masseyservices.com.lakeland.pest.control..utm.sour
masseyservices_com_lake_nona_pest_control__utm_sou.png,LEAD,masseyservices.com.lake.nona.pest.control..utm.sou
masseyservices_com_longwood_pest_control__utm_sour.png,LEAD,masseyservices.com.longwood.pest.control..utm.sour
masseyservices_com_orlando_landscape_service_lawn_.png,LEAD,masseyservices.com.orlando.landscape.service.lawn.
masseyservices_com_orlando_pest_control__utm_sourc.png,LEAD,masseyservices.com.orlando.pest.control..utm.sourc
